StopAreaNaptanCode,Mode,Line,UniqueId,Name,FareZones,HubNaptanCode,Wifi,AirportInterchange,BlueBadgeCarParking,BlueBadgeCarParkSpaces,StationUniqueId,IsAccessible,IsFeeCharged,Id,Type
910GRTHERHI,overground,windrush,910GRTHERHI,Rotherhithe,2,,False,,False,0.0,,,,,
910GSACTON,overground,mildmay,910GSACTON,South Acton,3,,True,,False,0.0,,,,,
910GSBURY,overground,weaver,910GSBURY,Southbury,5,,True,,False,0.0,,,,,
910GSCROYDN,nationalRail,national-rail,910GSCROYDN,South Croydon,5,,True,,False,0.0,,,,,
910GSHENFLD,nationalRail,national-rail,910GSHENFLD,Shenfield,Outside,,True,,False,0.0,910GSHENFLD,FALSE,False,1.0,Male
910GSHENFLD,nationalRail,national-rail,910GSHENFLD,Shenfield,Outside,,True,,False,0.0,910GSHENFLD,FALSE,False,2.0,Female
910GSHENFLD,nationalRail,national-rail,910GSHENFLD,Shenfield,Outside,,True,,False,0.0,910GSHENFLD,TRUE,False,3.0,Unisex
910GSHENFLD,elizabeth-line,elizabeth,910GSHENFLD,Shenfield,Outside,,True,,False,0.0,910GSHENFLD,FALSE,False,1.0,Male
910GSHENFLD,elizabeth-line,elizabeth,910GSHENFLD,Shenfield,Outside,,True,,False,0.0,910GSHENFLD,FALSE,False,2.0,Female
910GSHENFLD,elizabeth-line,elizabeth,910GSHENFLD,Shenfield,Outside,,True,,False,0.0,910GSHENFLD,TRUE,False,3.0,Unisex
910GSHLIER,nationalRail,national-rail,910GSHLIER,St Helier (London),4,,False,,False,0.0,,,,,
910GSHMPSTD,overground,lioness,910GSHMPSTD,South Hampstead,2,,False,,False,0.0,,,,,
910GSHRDHST,overground,windrush,910GSHRDHST,Shoreditch High Street,1,,False,,False,0.0,910GSHRDHST,TRUE,False,1.0,Unisex
910GSHRTLND,nationalRail,national-rail,910GSHRTLND,Shortlands,4,,False,,False,0.0,,,,,
910GSIVRST,overground,weaver,910GSIVRST,Silver Street,4,,True,,False,0.0,,,,,
910GSLADEGN,nationalRail,national-rail,910GSLADEGN,Slade Green,6,,False,,False,0.0,,,,,
910GSLOUGH,nationalRail,national-rail,910GSLOUGH,Slough,Outside,,True,,False,0.0,910GSLOUGH,FALSE,False,1.0,Male
910GSLOUGH,nationalRail,national-rail,910GSLOUGH,Slough,Outside,,True,,False,0.0,910GSLOUGH,FALSE,False,2.0,Female
910GSLOUGH,nationalRail,national-rail,910GSLOUGH,Slough,Outside,,True,,False,0.0,910GSLOUGH,TRUE,False,3.0,Unisex
910GSLOUGH,elizabeth-line,elizabeth,910GSLOUGH,Slough,Outside,,True,,False,0.0,910GSLOUGH,FALSE,False,1.0,Male
910GSLOUGH,elizabeth-line,elizabeth,910GSLOUGH,Slough,Outside,,True,,False,0.0,910GSLOUGH,FALSE,False,2.0,Female
910GSLOUGH,elizabeth-line,elizabeth,910GSLOUGH,Slough,Outside,,True,,False,0.0,910GSLOUGH,TRUE,False,3.0,Unisex
910GSMERTON,nationalRail,national-rail,910GSMERTON,South Merton,4,,False,,False,0.0,,,,,
910GSTHALL,elizabeth-line,elizabeth,910GSTHALL,Southall,4,,False,,False,0.0,910GSTHALL,FALSE,False,1.0,Male
910GSTHALL,elizabeth-line,elizabeth,910GSTHALL,Southall,4,,False,,False,0.0,910GSTHALL,FALSE,False,2.0,Female
910GSTHALL,elizabeth-line,elizabeth,910GSTHALL,Southall,4,,False,,False,0.0,910GSTHALL,TRUE,False,3.0,Unisex
910GSTHALL,nationalRail,national-rail,910GSTHALL,Southall,4,,False,,False,0.0,910GSTHALL,FALSE,False,1.0,Male
910GSTHALL,nationalRail,national-rail,910GSTHALL,Southall,4,,False,,False,0.0,910GSTHALL,FALSE,False,2.0,Female
