StopAreaNaptanCode,Mode,Line,UniqueId,Name,FareZones,HubNaptanCode,Wifi,AirportInterchange,BlueBadgeCarParking,BlueBadgeCarParkSpaces,StationUniqueId,IsAccessible,IsFeeCharged,Id
940GZZCRWEL,tram,tram,940GZZCRWEL,Wellesley Road,Trams fare zone,,False,,False,,,,,
940GZZCRWOD,tram,tram,940GZZCRWOD,Woodside,Trams fare zone,,False,,False,,,,,
940GZZDLABR,dlr,dlr,940GZZDLABR,Abbey Road,2|3,,False,,False,,,,,
940GZZDLALL,dlr,dlr,940GZZDLALL,All Saints,2,,False,,False,,,,,
940GZZDLBEC,dlr,dlr,940GZZDLBEC,Beckton,3,,False,,False,,,,,
940GZZDLBLA,dlr,dlr,940GZZDLBLA,Blackwall,2,,False,,False,,,,,
940GZZDLBOW,dlr,dlr,940GZZDLBOW,Bow Church,2,,False,,False,,,,,
940GZZDLBPK,dlr,dlr,940GZZDLBPK,Beckton Park,3,,False,,False,,,,,
940GZZDLCLA,dlr,dlr,940GZZDLCLA,Crossharbour,2,,False,,False,,,,,
910GCSTMHSXR,elizabeth-line,elizabeth,,,,,,,,,,,,
940GZZDLCUS,dlr,dlr,,,,,,,,,,,,
940GZZDLCYP,dlr,dlr,940GZZDLCYP,Cyprus,3,,False,,False,,,,,
940GZZDLDEP,dlr,dlr,940GZZDLDEP,Deptford Bridge,2|3,,False,,False,,,,,
940GZZDLDEV,dlr,dlr,940GZZDLDEV,Devons Road,2,,False,,False,,,,,
940GZZDLEIN,dlr,dlr,940GZZDLEIN,East India,2|3,,False,,False,,,,,
940GZZDLELV,dlr,dlr,940GZZDLELV,Elverson Road,2|3,,False,,False,,,,,
940GZZDLGAL,dlr,dlr,940GZZDLGAL,Gallions Reach,3,,False,,False,,,,,
940GZZDLHEQ,dlr,dlr,940GZZDLHEQ,Heron Quays,2,,False,,False,,,,,
940GZZDLISL,dlr,dlr,940GZZDLISL,Island Gardens,2,,False,,False,,,,,
940GZZDLKGV,dlr,dlr,940GZZDLKGV,King George V,3,,False,,False,,,,,
940GZZDLLDP,dlr,dlr,940GZZDLLDP,Langdon Park,2,,False,,False,,,,,
940GZZDLMUD,dlr,dlr,940GZZDLMUD,Mudchute,2,,False,,False,,,,,
940GZZDLPDK,dlr,dlr,940GZZDLPDK,Pontoon Dock,3,,False,,False,,,,,
940GZZDLPOP,dlr,dlr,940GZZDLPOP,Poplar,2,,False,,False,,,,,
940GZZDLPRE,dlr,dlr,940GZZDLPRE,Prince Regent,3,,False,,False,,,,,
940GZZDLPUD,dlr,dlr,940GZZDLPUD,Pudding Mill Lane,2|3,,False,,False,,,,,
940GZZDLRAL,dlr,dlr,940GZZDLRAL,Royal Albert,3,,False,,False,,,,,
940GZZDLRVC,dlr,dlr,940GZZDLRVC,Royal Victoria,3,HUBRVC,False,,False,,,,,
940GZZDLSHS,dlr,dlr,940GZZDLSHS,Stratford High Street,2|3,,False,,False,,,,,
940GZZDLSIT,dlr,dlr,940GZZDLSIT,Stratford International,2|3,,False,,False,,940GZZDLSIT,FALSE,False,1.0
940GZZDLSIT,dlr,dlr,940GZZDLSIT,Stratford International,2|3,,False,,False,,940GZZDLSIT,FALSE,False,2.0
940GZZDLSIT,dlr,dlr,940GZZDLSIT,Stratford International,2|3,,False,,False,,940GZZDLSIT,TRUE,False,3.0
940GZZDLSOQ,dlr,dlr,940GZZDLSOQ,South Quay,2,,False,,False,,,,,
940GZZDLSTL,dlr,dlr,940GZZDLSTL,Star Lane,2|3,,False,,False,,,,,
940GZZDLWFE,dlr,dlr,940GZZDLWFE,Westferry,2,,False,,False,,,,,
940GZZDLWIQ,dlr,dlr,940GZZDLWIQ,West India Quay,2,,False,,False,,,,,
940GZZDLWSV,dlr,dlr,940GZZDLWSV,West Silvertown,3,,False,,False,,,,,
940GZZLUACT,tube,district,940GZZLUACT,Acton Town,3,,True,,False,,940GZZLUACT,FALSE,False,1.0
940GZZLUACT,tube,district,940GZZLUACT,Acton Town,3,,True,,False,,940GZZLUACT,FALSE,False,2.0
940GZZLUACT,tube,district,940GZZLUACT,Acton Town,3,,True,,False,,940GZZLUACT,TRUE,False,3.0
940GZZLUACT,tube,piccadilly,940GZZLUACT,Acton Town,3,,True,,False,,940GZZLUACT,FALSE,False,1.0
940GZZLUACT,tube,piccadilly,940GZZLUACT,Acton Town,3,,True,,False,,940GZZLUACT,FALSE,False,2.0
940GZZLUACT,tube,piccadilly,940GZZLUACT,Acton Town,3,,True,,False,,940GZZLUACT,TRUE,False,3.0
940GZZLUACY,tube,northern,940GZZLUACY,Archway,2|3,,True,,False,,,,,
940GZZLUADE,tube,district,940GZZLUADE,Aldgate East,1,,True,,False,,,,,
940GZZLUADE,tube,hammersmith-city,940GZZLUADE,Aldgate East,1,,True,,False,,,,,
940GZZLUAGL,tube,northern,940GZZLUAGL,Angel,1,,True,,False,,,,,
940GZZLUALD,tube,circle,940GZZLUALD,Aldgate,1,,True,,False,,,,,
940GZZLUALD,tube,metropolitan,940GZZLUALD,Aldgate,1,,True,,False,,,,,
940GZZLUALP,tube,piccadilly,940GZZLUALP,Alperton,4,,True,,False,,940GZZLUALP,FALSE,False,1.0
940GZZLUALP,tube,piccadilly,940GZZLUALP,Alperton,4,,True,,False,,940GZZLUALP,FALSE,False,2.0
940GZZLUASG,tube,piccadilly,940GZZLUASG,Arnos Grove,4,,True,,False,,,,,
