PlatformUniqueId,StopAreaNaptanCode,Line,DirectionTowards,MinGap,MaxGap,AverageGap,MinStep,MaxStep,AverageStep,DesignatedLevelAccessPoint,LocationOfLevelAccess,LevelAccessByManualRamp,AdditionalAccessibilityInformation,GroupName
910GCMDNRD-Plat02-EB-london-overground,910GCMDNRD,mildmay,Stratford,,,,,,,False,,True,,
910GCNNB-Plat01-NB-london-overground,910GCNNB,windrush,Highbury & Islington,0.0,85.0,,0.0,50.0,,True,,False,,
910GCNNB-Plat02-SB-london-overground,910GCNNB,windrush,Crystal Palace and Clapham Junction via Canada Water,0.0,85.0,,0.0,50.0,,True,,False,,
910GCNNB-Plat03-WB-london-overground,910GCNNB,mildmay,Richmond and Clapham Junction via Willesden Junction,,,,,,,False,,True,,
910GCNNB-Plat04-EB-london-overground,910GCNNB,mildmay,Stratford,,,,,,,False,,True,,
910GCOLSDNS-Plat01-NB-national-rail,910GCOLSDNS,national-rail,,,,,,,,False,,True,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GCOLSDNS-Plat02-SB-national-rail,910GCOLSDNS,national-rail,,,,,,,,False,,True,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GCRKLWD-Plat01-SB-national-rail,910GCRKLWD,national-rail,,,,,,,,False,,True,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GCRKLWD-Plat02-NB-national-rail,910GCRKLWD,national-rail,,,,,,,,False,,False,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GCRLN-Plat01-WB-national-rail,910GCRLN,national-rail,,,,,,,,False,,True,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GCRLN-Plat02-EB-national-rail,910GCRLN,national-rail,,,,,,,,False,,True,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GCROUCHH-Plat01-WB-london-overground,910GCROUCHH,suffragette,,,,,,,,False,,False,,
910GCROUCHH-Plat02-EB-london-overground,910GCROUCHH,suffragette,,,,,,,,False,,False,,
910GCRPNDPK-Plat01-SB-london-overground,910GCRPNDPK,lioness,Euston,,,,,,,False,,True,,
910GCRPNDPK-Plat02-NB-london-overground,910GCRPNDPK,lioness,Watford Junction,,,,,,,False,,True,,
910GCRSHLTN-Plat01-EB-national-rail,910GCRSHLTN,national-rail,,,,,,,,False,,True,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GCRSHLTN-Plat02-WB-national-rail,910GCRSHLTN,national-rail,,,,,,,,False,,True,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GCTMSLNK-Plat01-NB-national-rail,910GCTMSLNK,national-rail,,0.0,85.0,,0.0,50.0,,True,,False,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GCTMSLNK-Plat02-SB-national-rail,910GCTMSLNK,national-rail,,0.0,85.0,,0.0,50.0,,True,,False,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GDALSKLD-Plat01-WB-london-overground,910GDALSKLD,mildmay,,,,,,,,False,,False,,
910GDALSKLD-Plat02-EB-london-overground,910GDALSKLD,mildmay,,,,,,,,False,,False,,
910GDALS-Plat01-NB-london-overground,910GDALS,windrush,Highbury & Islington,0.0,85.0,,0.0,50.0,,True,,False,,
